,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
188,1,188,neutral,0.07187950611114502,0.008396679535508156,0.016880635172128677,0.03787659853696823,0.2967485785484314,0.0010162477847188711,0.5672016739845276
190,1,190,neutral,0.11842942237854004,0.009092084132134914,0.024203941226005554,0.043935198336839676,0.3303561508655548,0.0012000201968476176,0.4727831184864044
192,1,192,happy,0.19630640745162964,0.01792488433420658,0.08783818036317825,0.2987307012081146,0.14799711108207703,0.00479199830442667,0.24641068279743195
194,1,194,happy,0.16114674508571625,0.011667557992041111,0.09433311223983765,0.43978336453437805,0.14427879452705383,0.0038937306962907314,0.1448967009782791
196,1,196,happy,0.16994646191596985,0.02723032794892788,0.06795205175876617,0.42972859740257263,0.1463937610387802,0.008954118005931377,0.14979462325572968
198,1,198,happy,0.1736152619123459,0.0055955252610147,0.10622481256723404,0.30153822898864746,0.18607135117053986,0.013291475363075733,0.21366336941719055
200,1,200,happy,0.09205441921949387,0.00454751867800951,0.10621677339076996,0.49078768491744995,0.12966197729110718,0.006496828515082598,0.17023472487926483
202,1,202,happy,0.10112641751766205,0.004874262493103743,0.023121854290366173,0.34710875153541565,0.18766483664512634,0.0027469287160784006,0.3333568871021271
204,1,204,neutral,0.14168675243854523,0.003722568042576313,0.015954649075865746,0.22668491303920746,0.20796367526054382,0.0023629069328308105,0.401624470949173
206,1,206,happy,0.1129816398024559,0.002199652139097452,0.01624244824051857,0.37203678488731384,0.17444650828838348,0.002514013322070241,0.31957897543907166
208,1,208,happy,0.06485787779092789,0.00612766994163394,0.06074993684887886,0.3543289601802826,0.1969776749610901,0.026785271242260933,0.29017260670661926
210,1,210,neutral,0.0599052794277668,0.007733834441751242,0.08420708775520325,0.31458908319473267,0.13757774233818054,0.012543187476694584,0.38344377279281616
212,1,212,neutral,0.11386919766664505,0.029385477304458618,0.07303125411272049,0.29706087708473206,0.12040925770998001,0.01125981006771326,0.3549841046333313
214,1,214,neutral,0.19474421441555023,0.02401549182832241,0.08145752549171448,0.1528150588274002,0.13001517951488495,0.0072168949991464615,0.4097355902194977
216,1,216,neutral,0.1322893649339676,0.019586872309446335,0.12123541533946991,0.17648576200008392,0.14375071227550507,0.006381605286151171,0.40027034282684326
218,1,218,happy,0.07735883444547653,0.1509021371603012,0.04330487176775932,0.43869397044181824,0.07240252196788788,0.010856904089450836,0.20648078620433807
220,1,220,neutral,0.059435244649648666,0.005361438263207674,0.01714402809739113,0.1445552557706833,0.1985190361738205,0.004188222344964743,0.5707967281341553
222,1,222,neutral,0.11846400052309036,0.007219970226287842,0.04320291802287102,0.22040390968322754,0.17953436076641083,0.024249916896224022,0.40692490339279175
